DATE_HOUR,Impressions,Conversions
2021-10-03-10,373,25
2021-10-03-11,1950,30
2021-10-03-12,1448,21
2021-10-03-13,1227,31
2021-10-03-14,1630,25
2021-10-03-15,1948,30
2021-10-03-16,1796,26
2021-10-03-17,1792,14
2021-10-03-18,9234,29
2021-10-03-19,3149,27
2021-10-03-20,2133,28
2021-10-03-21,3820,28
2021-10-03-22,2271,44
2021-10-03-23,10146,33
2021-10-04-00,2567,51
2021-10-04-01,10610,54
2021-10-04-02,3501,57
2021-10-04-03,6669,66
2021-10-04-04,3040,34
2021-10-04-05,8788,53
2021-10-04-06,1834,52
2021-10-04-07,3371,21
2021-10-04-08,1962,38
2021-10-04-09,2628,15
2021-10-04-10,1604,22
2021-10-04-11,542,5
2021-10-04-12,1179,10
2021-10-04-13,696,27
2021-10-04-14,818,21
2021-10-04-15,1007,35
2021-10-04-16,9676,16
2021-10-04-17,1646,27
2021-10-04-18,2635,22
2021-10-04-19,3592,34
2021-10-04-20,2005,24
2021-10-04-21,14837,52
2021-10-04-22,11496,45
2021-10-04-23,17143,76
2021-10-05-00,30386,52
2021-10-05-01,5365,69
2021-10-05-02,14052,215
2021-10-05-03,9163,68
2021-10-05-04,20840,54
2021-10-05-05,2807,56
2021-10-05-06,1653,23
2021-10-05-07,4274,24
2021-10-05-08,2523,26
2021-10-05-09,921,33
2021-10-05-10,1181,19
2021-10-05-11,1278,24
2021-10-05-12,705,21
2021-10-05-13,948,26
2021-10-05-14,986,13
2021-10-05-15,1046,21
2021-10-05-16,9794,42
2021-10-05-17,1509,12
2021-10-05-18,1227,28
2021-10-05-19,3390,27
2021-10-05-20,2067,42
2021-10-05-21,9727,40
2021-10-05-22,11633,34
2021-10-05-23,13869,66
2021-10-06-00,4774,78
2021-10-06-01,24616,87
2021-10-06-02,5216,45
2021-10-06-03,11678,59
2021-10-06-04,32717,66
2021-10-06-05,3044,50
2021-10-06-06,3150,44
2021-10-06-07,4432,33
2021-10-06-08,2790,25
2021-10-06-09,489,21
2021-10-06-10,747,23
2021-10-06-11,972,16
2021-10-06-12,535,13
2021-10-06-13,721,12
2021-10-06-14,903,12
2021-10-06-15,7161,21
2021-10-06-16,1039,15
2021-10-06-17,4118,15
2021-10-06-18,11071,36
2021-10-06-19,11108,32
2021-10-06-20,7992,27
2021-10-06-21,13780,40
2021-10-06-22,14052,52
2021-10-06-23,16107,61
2021-10-07-00,3091,51
2021-10-07-01,3173,22
2021-10-07-02,9260,109
2021-10-07-03,4012,85
2021-10-07-04,7175,36
2021-10-07-05,5244,39
2021-10-07-06,1069,15
2021-10-07-07,2803,35
2021-10-07-08,10040,17
2021-10-07-09,1779,12
2021-10-07-10,3536,13
2021-10-07-11,1859,24
2021-10-07-12,857,12
2021-10-07-13,1626,17
2021-10-07-14,1207,10
2021-10-07-15,1290,11
2021-10-07-16,1517,7
2021-10-07-17,6164,22
2021-10-07-18,13316,27
2021-10-07-19,2004,12
2021-10-07-20,3022,24
2021-10-07-21,18292,76
2021-10-07-22,17999,99
2021-10-07-23,10060,78
2021-10-08-00,33683,135
2021-10-08-01,16911,83
2021-10-08-02,23134,82
2021-10-08-03,21928,136
2021-10-08-04,9159,78
2021-10-08-05,7034,50
2021-10-08-06,9678,71
2021-10-08-07,4047,34
2021-10-08-08,4924,58
2021-10-08-09,2312,56
2021-10-08-10,2404,43
2021-10-08-11,2191,49
2021-10-08-12,2500,57
2021-10-08-13,2695,58
2021-10-08-14,3125,63
2021-10-08-15,3496,50
2021-10-08-16,4320,37
2021-10-08-17,21888,75
2021-10-08-18,5506,61
2021-10-08-19,4337,69
